country,data,rank
USA,229,1
China,83,2
Japan,74,3
United Kingdom,65,4
Germany,55,5
France,49,6
Italy,47,7
Spain,40,8
South Korea,36,9
Canada,33,10
Australia,27,11
Taiwan,21,12
Brazil,18,13
India,16,14
Netherlands,13,15
Austria,12,16
Sweden,11,17
Belgium,10,18
Turkey,10,19
Finland,9,20
Poland,9,21
Switzerland,9,22
Iran,8,23
Ireland,8,24
Greece,7,25
Israel,7,26
Portugal,7,27
Hong Kong,6,28
Hungary,6,29
New Zealand,6,30
Czech Republic,5,31
Denmark,5,32
Norway,5,33
Russia,5,34
South Africa,5,35
Chile,4,36
Egypt,4,37
Saudi Arabia,4,38
Argentina,3,39
Malaysia,3,40
Thailand,3,41
Colombia,2,42
Mexico,2,43
Romania,2,44
Singapore,2,45
Slovenia,2,46
Bulgaria,1,47
Croatia,1,48
Cyprus,1,49
Estonia,1,50
Iceland,1,51
Lebanon,1,52
Lithuania,1,53
Puerto Rico,1,54
Serbia,1,55
Slovak Republic,1,56
Uganda,1,57
United Arab Emirates,1,58
Uruguay,1,59
